month,department,category,budget,actual,variance
2025-05-01,Sales,Training,3744,3634,-110
2025-05-01,Sales,Other,2496,2778,282
2025-05-01,Marketing,Salaries & Wages,38272,32147,-6125
2025-05-01,Marketing,Software & Cloud,13312,13432,120
2025-05-01,Marketing,Contractors,9984,9645,-339
2025-05-01,Marketing,Travel & Events,6656,4922,-1734
2025-05-01,Marketing,Marketing Programs,5824,5172,-652
2025-05-01,Marketing,Facilities,4992,4586,-406
2025-05-01,Marketing,Training,2496,2138,-358
2025-05-01,Marketing,Other,1664,1477,-187
2025-05-01,R&D,Salaries & Wages,28704,32107,3403
2025-05-01,R&D,Software & Cloud,9984,12387,2403
2025-05-01,R&D,Contractors,7488,9102,1614
2025-05-01,R&D,Travel & Events,4992,5082,90
2025-05-01,R&D,Marketing Programs,4368,4873,505
2025-05-01,R&D,Facilities,3744,3984,240
2025-05-01,R&D,Training,1872,2063,191
2025-05-01,R&D,Other,1248,1440,192
2025-05-01,Operations,Salaries & Wages,45448,45514,66
2025-05-01,Operations,Software & Cloud,15808,17883,2075
2025-05-01,Operations,Contractors,11856,13368,1512
2025-05-01,Operations,Travel & Events,7904,6646,-1258
2025-05-01,Operations,Marketing Programs,6916,6965,49
2025-05-01,Operations,Facilities,5928,6075,147
2025-05-01,Operations,Training,2964,2893,-71
2025-05-01,Operations,Other,1976,2042,66
2025-05-01,G&A,Salaries & Wages,19136,17760,-1376
2025-05-01,G&A,Software & Cloud,6656,7274,618
2025-05-01,G&A,Contractors,4992,5407,415
2025-05-01,G&A,Travel & Events,3328,3033,-295
2025-05-01,G&A,Marketing Programs,2912,2760,-152
2025-05-01,G&A,Facilities,2496,2200,-296
2025-05-01,G&A,Training,1248,1182,-66
2025-05-01,G&A,Other,832,861,29
2025-05-01,Customer Success,Salaries & Wages,23920,27425,3505
2025-05-01,Customer Success,Software & Cloud,8320,10471,2151
2025-05-01,Customer Success,Contractors,6240,6624,384
2025-05-01,Customer Success,Travel & Events,4160,4370,210
2025-05-01,Customer Success,Marketing Programs,3640,3777,137
2025-05-01,Customer Success,Facilities,3120,2892,-228
2025-05-01,Customer Success,Training,1560,1636,76
2025-05-01,Customer Success,Other,1040,1026,-14
2025-06-01,Sales,Salaries & Wages,57408,59023,1615
2025-06-01,Sales,Software & Cloud,19968,24565,4597
2025-06-01,Sales,Contractors,14976,19401,4425
2025-06-01,Sales,Travel & Events,9984,9983,-1
2025-06-01,Sales,Marketing Programs,8736,9571,835
2025-06-01,Sales,Facilities,7488,9242,1754
2025-06-01,Sales,Training,3744,4349,605
2025-06-01,Sales,Other,2496,2757,261
2025-06-01,Marketing,Salaries & Wages,38272,34310,-3962
2025-06-01,Marketing,Software & Cloud,13312,12910,-402
2025-06-01,Marketing,Contractors,9984,9407,-577
2025-06-01,Marketing,Travel & Events,6656,5714,-942
2025-06-01,Marketing,Marketing Programs,5824,5262,-562
2025-06-01,Marketing,Facilities,4992,4571,-421
2025-06-01,Marketing,Training,2496,2289,-207
2025-06-01,Marketing,Other,1664,1445,-219
2025-06-01,R&D,Salaries & Wages,28704,32787,4083
2025-06-01,R&D,Software & Cloud,9984,13749,3765
2025-06-01,R&D,Contractors,7488,9599,2111
2025-06-01,R&D,Travel & Events,4992,5613,621
2025-06-01,R&D,Marketing Programs,4368,4973,605
2025-06-01,R&D,Facilities,3744,4212,468
2025-06-01,R&D,Training,1872,2083,211
2025-06-01,R&D,Other,1248,1347,99
2025-06-01,Operations,Salaries & Wages,45448,41602,-3846
2025-06-01,Operations,Software & Cloud,15808,19012,3204
2025-06-01,Operations,Contractors,11856,12890,1034
2025-06-01,Operations,Travel & Events,7904,7482,-422
2025-06-01,Operations,Marketing Programs,6916,6119,-797
2025-06-01,Operations,Facilities,5928,5858,-70
2025-06-01,Operations,Training,2964,2743,-221
2025-06-01,Operations,Other,1976,1895,-81
2025-06-01,G&A,Salaries & Wages,19136,16126,-3010
2025-06-01,G&A,Software & Cloud,6656,7238,582
2025-06-01,G&A,Contractors,4992,5489,497
2025-06-01,G&A,Travel & Events,3328,3022,-306
2025-06-01,G&A,Marketing Programs,2912,2629,-283
2025-06-01,G&A,Facilities,2496,2406,-90
2025-06-01,G&A,Training,1248,1197,-51
2025-06-01,G&A,Other,832,680,-152
2025-06-01,Customer Success,Salaries & Wages,23920,25662,1742
2025-06-01,Customer Success,Software & Cloud,8320,10684,2364
2025-06-01,Customer Success,Contractors,6240,7589,1349
2025-06-01,Customer Success,Travel & Events,4160,4581,421
2025-06-01,Customer Success,Marketing Programs,3640,4085,445
2025-06-01,Customer Success,Facilities,3120,3436,316
2025-06-01,Customer Success,Training,1560,1631,71
2025-06-01,Customer Success,Other,1040,1178,138
2025-07-01,Sales,Salaries & Wages,57408,61911,4503
2025-07-01,Sales,Software & Cloud,19968,25517,5549
2025-07-01,Sales,Contractors,14976,19023,4047
2025-07-01,Sales,Travel & Events,9984,11507,1523
2025-07-01,Sales,Marketing Programs,8736,9349,613
2025-07-01,Sales,Facilities,7488,8317,829
2025-07-01,Sales,Training,3744,4009,265
2025-07-01,Sales,Other,2496,3014,518
2025-07-01,Marketing,Salaries & Wages,38272,34714,-3558
2025-07-01,Marketing,Software & Cloud,13312,15193,1881
2025-07-01,Marketing,Contractors,9984,9246,-738
2025-07-01,Marketing,Travel & Events,6656,5503,-1153
2025-07-01,Marketing,Marketing Programs,5824,5073,-751
2025-07-01,Marketing,Facilities,4992,4755,-237
2025-07-01,Marketing,Training,2496,2294,-202
2025-07-01,Marketing,Other,1664,1381,-283
2025-07-01,R&D,Salaries & Wages,28704,31199,2495
2025-07-01,R&D,Software & Cloud,9984,13453,3469
2025-07-01,R&D,Contractors,7488,8926,1438
2025-07-01,R&D,Travel & Events,4992,4813,-179
2025-07-01,R&D,Marketing Programs,4368,5178,810
2025-07-01,R&D,Facilities,3744,4428,684
2025-07-01,R&D,Training,1872,2103,231
2025-07-01,R&D,Other,1248,1393,145
2025-07-01,Operations,Salaries & Wages,45448,48826,3378
2025-07-01,Operations,Software & Cloud,15808,18099,2291
2025-07-01,Operations,Contractors,11856,13812,1956
2025-07-01,Operations,Travel & Events,7904,6953,-951
2025-07-01,Operations,Marketing Programs,6916,6437,-479
2025-07-01,Operations,Facilities,5928,6061,133
2025-07-01,Operations,Training,2964,2727,-237
2025-07-01,Operations,Other,1976,2078,102
2025-07-01,G&A,Salaries & Wages,19136,18744,-392
2025-07-01,G&A,Software & Cloud,6656,6984,328
2025-07-01,G&A,Contractors,4992,5222,230
2025-07-01,G&A,Travel & Events,3328,2891,-437
2025-07-01,G&A,Marketing Programs,2912,2878,-34
2025-07-01,G&A,Facilities,2496,2317,-179
2025-07-01,G&A,Training,1248,1114,-134
2025-07-01,G&A,Other,832,863,31
2025-07-01,Customer Success,Salaries & Wages,23920,29619,5699
2025-07-01,Customer Success,Software & Cloud,8320,11678,3358
2025-07-01,Customer Success,Contractors,6240,7324,1084
2025-07-01,Customer Success,Travel & Events,4160,4198,38
2025-07-01,Customer Success,Marketing Programs,3640,4191,551
2025-07-01,Customer Success,Facilities,3120,3353,233
2025-07-01,Customer Success,Training,1560,1513,-47
2025-07-01,Customer Success,Other,1040,1134,94
2025-08-01,Sales,Salaries & Wages,57408,65857,8449
2025-08-01,Sales,Software & Cloud,19968,24395,4427
2025-08-01,Sales,Contractors,14976,16360,1384
2025-08-01,Sales,Travel & Events,9984,9409,-575
2025-08-01,Sales,Marketing Programs,8736,9847,1111
2025-08-01,Sales,Facilities,7488,7989,501
2025-08-01,Sales,Training,3744,3938,194
2025-08-01,Sales,Other,2496,2823,327
2025-08-01,Marketing,Salaries & Wages,38272,36059,-2213
2025-08-01,Marketing,Software & Cloud,13312,13621,309
2025-08-01,Marketing,Contractors,9984,10086,102
2025-08-01,Marketing,Travel & Events,6656,5270,-1386
2025-08-01,Marketing,Marketing Programs,5824,5018,-806
2025-08-01,Marketing,Facilities,4992,4262,-730
2025-08-01,Marketing,Training,2496,2304,-192
2025-08-01,Marketing,Other,1664,1508,-156
2025-08-01,R&D,Salaries & Wages,28704,31589,2885
2025-08-01,R&D,Software & Cloud,9984,12932,2948
2025-08-01,R&D,Contractors,7488,9181,1693
2025-08-01,R&D,Travel & Events,4992,5510,518
2025-08-01,R&D,Marketing Programs,4368,4429,61
2025-08-01,R&D,Facilities,3744,4047,303
2025-08-01,R&D,Training,1872,2000,128
2025-08-01,R&D,Other,1248,1671,423
2025-08-01,Operations,Salaries & Wages,45448,48611,3163
2025-08-01,Operations,Software & Cloud,15808,18239,2431
2025-08-01,Operations,Contractors,11856,13497,1641
2025-08-01,Operations,Travel & Events,7904,8309,405
2025-08-01,Operations,Marketing Programs,6916,6681,-235
2025-08-01,Operations,Facilities,5928,5857,-71
2025-08-01,Operations,Training,2964,3058,94
2025-08-01,Operations,Other,1976,2056,80
2025-08-01,G&A,Salaries & Wages,19136,19204,68
2025-08-01,G&A,Software & Cloud,6656,7157,501
2025-08-01,G&A,Contractors,4992,5833,841
2025-08-01,G&A,Travel & Events,3328,3270,-58
2025-08-01,G&A,Marketing Programs,2912,2817,-95
2025-08-01,G&A,Facilities,2496,2507,11
2025-08-01,G&A,Training,1248,1012,-236
2025-08-01,G&A,Other,832,833,1
2025-08-01,Customer Success,Salaries & Wages,23920,25637,1717
2025-08-01,Customer Success,Software & Cloud,8320,10649,2329
2025-08-01,Customer Success,Contractors,6240,7613,1373
2025-08-01,Customer Success,Travel & Events,4160,4066,-94
2025-08-01,Customer Success,Marketing Programs,3640,3459,-181
2025-08-01,Customer Success,Facilities,3120,3459,339
2025-08-01,Customer Success,Training,1560,1537,-23
2025-08-01,Customer Success,Other,1040,1106,66
2025-09-01,Sales,Salaries & Wages,57408,61959,4551
2025-09-01,Sales,Software & Cloud,19968,25177,5209
2025-09-01,Sales,Contractors,14976,15759,783
2025-09-01,Sales,Travel & Events,9984,11058,1074
2025-09-01,Sales,Marketing Programs,8736,9629,893
2025-09-01,Sales,Facilities,7488,8958,1470
2025-09-01,Sales,Training,3744,4483,739
2025-09-01,Sales,Other,2496,2797,301
2025-09-01,Marketing,Salaries & Wages,38272,31153,-7119
2025-09-01,Marketing,Software & Cloud,13312,13159,-153
2025-09-01,Marketing,Contractors,9984,9096,-888
2025-09-01,Marketing,Travel & Events,6656,5389,-1267
2025-09-01,Marketing,Marketing Programs,5824,5148,-676
2025-09-01,Marketing,Facilities,4992,4015,-977
2025-09-01,Marketing,Training,2496,2195,-301
2025-09-01,Marketing,Other,1664,1378,-286
2025-09-01,R&D,Salaries & Wages,28704,33680,4976
2025-09-01,R&D,Software & Cloud,9984,13147,3163
2025-09-01,R&D,Contractors,7488,9147,1659
2025-09-01,R&D,Travel & Events,4992,5270,278
2025-09-01,R&D,Marketing Programs,4368,4728,360
2025-09-01,R&D,Facilities,3744,4160,416
2025-09-01,R&D,Training,1872,1853,-19
2025-09-01,R&D,Other,1248,1436,188
2025-09-01,Operations,Salaries & Wages,45448,51277,5829
2025-09-01,Operations,Software & Cloud,15808,20678,4870
2025-09-01,Operations,Contractors,11856,14000,2144
2025-09-01,Operations,Travel & Events,7904,7662,-242
2025-09-01,Operations,Marketing Programs,6916,6506,-410
2025-09-01,Operations,Facilities,5928,6529,601
2025-09-01,Operations,Training,2964,2834,-130
2025-09-01,Operations,Other,1976,1988,12
2025-09-01,G&A,Salaries & Wages,19136,18118,-1018
2025-09-01,G&A,Software & Cloud,6656,7416,760
2025-09-01,G&A,Contractors,4992,5061,69
2025-09-01,G&A,Travel & Events,3328,2935,-393
2025-09-01,G&A,Marketing Programs,2912,2550,-362
2025-09-01,G&A,Facilities,2496,2352,-144
2025-09-01,G&A,Training,1248,1310,62
2025-09-01,G&A,Other,832,798,-34
2025-09-01,Customer Success,Salaries & Wages,23920,25610,1690
2025-09-01,Customer Success,Software & Cloud,8320,10729,2409
2025-09-01,Customer Success,Contractors,6240,7637,1397
2025-09-01,Customer Success,Travel & Events,4160,3888,-272
2025-09-01,Customer Success,Marketing Programs,3640,3787,147
2025-09-01,Customer Success,Facilities,3120,3581,461
2025-09-01,Customer Success,Training,1560,1636,76
2025-09-01,Customer Success,Other,1040,1138,98
2025-10-01,Sales,Salaries & Wages,57408,70690,13282
2025-10-01,Sales,Software & Cloud,19968,24732,4764
2025-10-01,Sales,Contractors,14976,18233,3257
2025-10-01,Sales,Travel & Events,9984,9987,3
2025-10-01,Sales,Marketing Programs,8736,10395,1659
2025-10-01,Sales,Facilities,7488,7471,-17
2025-10-01,Sales,Training,3744,3833,89
2025-10-01,Sales,Other,2496,2712,216
2025-10-01,Marketing,Salaries & Wages,38272,36086,-2186
2025-10-01,Marketing,Software & Cloud,13312,14385,1073
2025-10-01,Marketing,Contractors,9984,10623,639
2025-10-01,Marketing,Travel & Events,6656,5048,-1608
2025-10-01,Marketing,Marketing Programs,5824,5354,-470
2025-10-01,Marketing,Facilities,4992,4444,-548
2025-10-01,Marketing,Training,2496,2064,-432
2025-10-01,Marketing,Other,1664,1557,-107
2025-10-01,R&D,Salaries & Wages,28704,31366,2662
2025-10-01,R&D,Software & Cloud,9984,11705,1721
2025-10-01,R&D,Contractors,7488,9134,1646
2025-10-01,R&D,Travel & Events,4992,4848,-144
2025-10-01,R&D,Marketing Programs,4368,4706,338
2025-10-01,R&D,Facilities,3744,4421,677
2025-10-01,R&D,Training,1872,2092,220
2025-10-01,R&D,Other,1248,1585,337
2025-10-01,Operations,Salaries & Wages,45448,45356,-92
2025-10-01,Operations,Software & Cloud,15808,16747,939
2025-10-01,Operations,Contractors,11856,12359,503
2025-10-01,Operations,Travel & Events,7904,6950,-954
2025-10-01,Operations,Marketing Programs,6916,6298,-618
2025-10-01,Operations,Facilities,5928,6146,218
2025-10-01,Operations,Training,2964,2736,-228
2025-10-01,Operations,Other,1976,1772,-204
2025-10-01,G&A,Salaries & Wages,19136,19216,80
2025-10-01,G&A,Software & Cloud,6656,7322,666
2025-10-01,G&A,Contractors,4992,5304,312
2025-10-01,G&A,Travel & Events,3328,2967,-361
2025-10-01,G&A,Marketing Programs,2912,2825,-87
2025-10-01,G&A,Facilities,2496,2409,-87
2025-10-01,G&A,Training,1248,1230,-18
2025-10-01,G&A,Other,832,822,-10
2025-10-01,Customer Success,Salaries & Wages,23920,26640,2720
2025-10-01,Customer Success,Software & Cloud,8320,10667,2347
2025-10-01,Customer Success,Contractors,6240,6718,478
2025-10-01,Customer Success,Travel & Events,4160,4122,-38
2025-10-01,Customer Success,Marketing Programs,3640,3782,142
2025-10-01,Customer Success,Facilities,3120,3437,317
2025-10-01,Customer Success,Training,1560,1486,-74
2025-10-01,Customer Success,Other,1040,1248,208
2025-11-01,Sales,Salaries & Wages,57408,64952,7544
2025-11-01,Sales,Software & Cloud,19968,24009,4041
2025-11-01,Sales,Contractors,14976,16413,1437
2025-11-01,Sales,Travel & Events,9984,10155,171
2025-11-01,Sales,Marketing Programs,8736,9477,741
2025-11-01,Sales,Facilities,7488,8064,576
2025-11-01,Sales,Training,3744,4021,277
2025-11-01,Sales,Other,2496,2700,204
2025-11-01,Marketing,Salaries & Wages,38272,35810,-2462
2025-11-01,Marketing,Software & Cloud,13312,13268,-44
2025-11-01,Marketing,Contractors,9984,9738,-246
2025-11-01,Marketing,Travel & Events,6656,5878,-778
2025-11-01,Marketing,Marketing Programs,5824,5967,143
2025-11-01,Marketing,Facilities,4992,4254,-738
2025-11-01,Marketing,Training,2496,2087,-409
2025-11-01,Marketing,Other,1664,1432,-232
2025-11-01,R&D,Salaries & Wages,28704,34809,6105
2025-11-01,R&D,Software & Cloud,9984,12399,2415
2025-11-01,R&D,Contractors,7488,9088,1600
2025-11-01,R&D,Travel & Events,4992,5304,312
2025-11-01,R&D,Marketing Programs,4368,4622,254
2025-11-01,R&D,Facilities,3744,4090,346
2025-11-01,R&D,Training,1872,2000,128
2025-11-01,R&D,Other,1248,1273,25
2025-11-01,Operations,Salaries & Wages,45448,42089,-3359
2025-11-01,Operations,Software & Cloud,15808,17912,2104
2025-11-01,Operations,Contractors,11856,13048,1192
2025-11-01,Operations,Travel & Events,7904,7263,-641
2025-11-01,Operations,Marketing Programs,6916,6091,-825
2025-11-01,Operations,Facilities,5928,5823,-105
2025-11-01,Operations,Training,2964,2984,20
2025-11-01,Operations,Other,1976,2063,87
2025-11-01,G&A,Salaries & Wages,19136,18334,-802
2025-11-01,G&A,Software & Cloud,6656,6986,330
2025-11-01,G&A,Contractors,4992,5390,398
2025-11-01,G&A,Travel & Events,3328,2847,-481
2025-11-01,G&A,Marketing Programs,2912,2535,-377
2025-11-01,G&A,Facilities,2496,2290,-206
2025-11-01,G&A,Training,1248,1245,-3
2025-11-01,G&A,Other,832,812,-20
2025-11-01,Customer Success,Salaries & Wages,23920,27940,4020
2025-11-01,Customer Success,Software & Cloud,8320,10129,1809
2025-11-01,Customer Success,Contractors,6240,7768,1528
2025-11-01,Customer Success,Travel & Events,4160,4022,-138
2025-11-01,Customer Success,Marketing Programs,3640,3811,171
2025-11-01,Customer Success,Facilities,3120,3946,826
2025-11-01,Customer Success,Training,1560,1691,131
2025-11-01,Customer Success,Other,1040,1100,60
2025-12-01,Sales,Salaries & Wages,57408,64368,6960
2025-12-01,Sales,Software & Cloud,19968,26390,6422
2025-12-01,Sales,Contractors,14976,19601,4625
2025-12-01,Sales,Travel & Events,9984,10052,68
2025-12-01,Sales,Marketing Programs,8736,8602,-134
2025-12-01,Sales,Facilities,7488,8298,810
2025-12-01,Sales,Training,3744,4012,268
2025-12-01,Sales,Other,2496,2831,335
2025-12-01,Marketing,Salaries & Wages,38272,37456,-816
2025-12-01,Marketing,Software & Cloud,13312,14110,798
2025-12-01,Marketing,Contractors,9984,10239,255
2025-12-01,Marketing,Travel & Events,6656,5184,-1472
2025-12-01,Marketing,Marketing Programs,5824,5382,-442
2025-12-01,Marketing,Facilities,4992,5120,128
2025-12-01,Marketing,Training,2496,2246,-250
2025-12-01,Marketing,Other,1664,1528,-136
2025-12-01,R&D,Salaries & Wages,28704,33581,4877
2025-12-01,R&D,Software & Cloud,9984,14815,4831
2025-12-01,R&D,Contractors,7488,8867,1379
2025-12-01,R&D,Travel & Events,4992,5288,296
2025-12-01,R&D,Marketing Programs,4368,5049,681
2025-12-01,R&D,Facilities,3744,4538,794
2025-12-01,R&D,Training,1872,2008,136
2025-12-01,R&D,Other,1248,1474,226
2025-12-01,Operations,Salaries & Wages,45448,45143,-305
2025-12-01,Operations,Software & Cloud,15808,18494,2686
2025-12-01,Operations,Contractors,11856,12830,974
2025-12-01,Operations,Travel & Events,7904,6858,-1046
2025-12-01,Operations,Marketing Programs,6916,6767,-149
2025-12-01,Operations,Facilities,5928,6311,383
2025-12-01,Operations,Training,2964,2684,-280
2025-12-01,Operations,Other,1976,1967,-9
2025-12-01,G&A,Salaries & Wages,19136,19161,25
2025-12-01,G&A,Software & Cloud,6656,6907,251
2025-12-01,G&A,Contractors,4992,5245,253
2025-12-01,G&A,Travel & Events,3328,2764,-564
2025-12-01,G&A,Marketing Programs,2912,2909,-3
2025-12-01,G&A,Facilities,2496,2759,263
2025-12-01,G&A,Training,1248,1288,40
2025-12-01,G&A,Other,832,790,-42
2025-12-01,Customer Success,Salaries & Wages,23920,27289,3369
2025-12-01,Customer Success,Software & Cloud,8320,10518,2198
2025-12-01,Customer Success,Contractors,6240,7400,1160
2025-12-01,Customer Success,Travel & Events,4160,4583,423
2025-12-01,Customer Success,Marketing Programs,3640,3560,-80
2025-12-01,Customer Success,Facilities,3120,3627,507
2025-12-01,Customer Success,Training,1560,1613,53
2025-12-01,Customer Success,Other,1040,1235,195
2026-01-01,Sales,Salaries & Wages,59616,68101,8485
2026-01-01,Sales,Software & Cloud,20736,25871,5135
2026-01-01,Sales,Contractors,15552,19290,3738
2026-01-01,Sales,Travel & Events,10368,11261,893
2026-01-01,Sales,Marketing Programs,9072,9961,889
2026-01-01,Sales,Facilities,7776,9045,1269
2026-01-01,Sales,Training,3888,4044,156
2026-01-01,Sales,Other,2592,2576,-16
2026-01-01,Marketing,Salaries & Wages,39744,37900,-1844
2026-01-01,Marketing,Software & Cloud,13824,14978,1154
2026-01-01,Marketing,Contractors,10368,10207,-161
2026-01-01,Marketing,Travel & Events,6912,5769,-1143
2026-01-01,Marketing,Marketing Programs,6048,5640,-408
2026-01-01,Marketing,Facilities,5184,4557,-627
2026-01-01,Marketing,Training,2592,2132,-460
2026-01-01,Marketing,Other,1728,1544,-184
2026-01-01,R&D,Salaries & Wages,29808,37176,7368
2026-01-01,R&D,Software & Cloud,10368,12741,2373
2026-01-01,R&D,Contractors,7776,10476,2700
2026-01-01,R&D,Travel & Events,5184,5330,146
2026-01-01,R&D,Marketing Programs,4536,4783,247
2026-01-01,R&D,Facilities,3888,4870,982
2026-01-01,R&D,Training,1944,2132,188
2026-01-01,R&D,Other,1296,1392,96
2026-01-01,Operations,Salaries & Wages,47196,46653,-543
2026-01-01,Operations,Software & Cloud,16416,20163,3747
2026-01-01,Operations,Contractors,12312,14426,2114
2026-01-01,Operations,Travel & Events,8208,7434,-774
2026-01-01,Operations,Marketing Programs,7182,7210,28
2026-01-01,Operations,Facilities,6156,6490,334
2026-01-01,Operations,Training,3078,2841,-237
2026-01-01,Operations,Other,2052,2117,65
2026-01-01,G&A,Salaries & Wages,19872,19075,-797
2026-01-01,G&A,Software & Cloud,6912,7403,491
2026-01-01,G&A,Contractors,5184,5228,44
2026-01-01,G&A,Travel & Events,3456,3070,-386
2026-01-01,G&A,Marketing Programs,3024,2826,-198
2026-01-01,G&A,Facilities,2592,2410,-182
2026-01-01,G&A,Training,1296,1154,-142
2026-01-01,G&A,Other,864,888,24
2026-01-01,Customer Success,Salaries & Wages,24840,27502,2662
2026-01-01,Customer Success,Software & Cloud,8640,11453,2813
2026-01-01,Customer Success,Contractors,6480,8222,1742
2026-01-01,Customer Success,Travel & Events,4320,4500,180
2026-01-01,Customer Success,Marketing Programs,3780,4593,813
2026-01-01,Customer Success,Facilities,3240,3370,130
2026-01-01,Customer Success,Training,1620,1766,146
2026-01-01,Customer Success,Other,1080,1158,78
2026-02-01,Sales,Salaries & Wages,59616,75446,15830
2026-02-01,Sales,Software & Cloud,20736,29898,9162
2026-02-01,Sales,Contractors,15552,16912,1360
2026-02-01,Sales,Travel & Events,10368,10189,-179
2026-02-01,Sales,Marketing Programs,9072,10368,1296
2026-02-01,Sales,Facilities,7776,9231,1455
2026-02-01,Sales,Training,3888,4371,483
2026-02-01,Sales,Other,2592,2922,330
2026-02-01,Marketing,Salaries & Wages,39744,36866,-2878
2026-02-01,Marketing,Software & Cloud,13824,14923,1099
2026-02-01,Marketing,Contractors,10368,10060,-308
2026-02-01,Marketing,Travel & Events,6912,6105,-807
2026-02-01,Marketing,Marketing Programs,6048,4624,-1424
2026-02-01,Marketing,Facilities,5184,4860,-324
2026-02-01,Marketing,Training,2592,2089,-503
2026-02-01,Marketing,Other,1728,1652,-76
2026-02-01,R&D,Salaries & Wages,29808,34208,4400
2026-02-01,R&D,Software & Cloud,10368,13152,2784
2026-02-01,R&D,Contractors,7776,9993,2217
2026-02-01,R&D,Travel & Events,5184,5254,70
2026-02-01,R&D,Marketing Programs,4536,4846,310
2026-02-01,R&D,Facilities,3888,4118,230
2026-02-01,R&D,Training,1944,2145,201
2026-02-01,R&D,Other,1296,1553,257
2026-02-01,Operations,Salaries & Wages,47196,50686,3490
2026-02-01,Operations,Software & Cloud,16416,18906,2490
2026-02-01,Operations,Contractors,12312,14301,1989
2026-02-01,Operations,Travel & Events,8208,7635,-573
2026-02-01,Operations,Marketing Programs,7182,6997,-185
2026-02-01,Operations,Facilities,6156,6435,279
2026-02-01,Operations,Training,3078,3147,69
2026-02-01,Operations,Other,2052,2030,-22
2026-02-01,G&A,Salaries & Wages,19872,18826,-1046
2026-02-01,G&A,Software & Cloud,6912,7568,656
2026-02-01,G&A,Contractors,5184,5409,225
2026-02-01,G&A,Travel & Events,3456,2896,-560
2026-02-01,G&A,Marketing Programs,3024,2999,-25
2026-02-01,G&A,Facilities,2592,2433,-159
2026-02-01,G&A,Training,1296,1217,-79
2026-02-01,G&A,Other,864,790,-74
2026-02-01,Customer Success,Salaries & Wages,24840,27786,2946
2026-02-01,Customer Success,Software & Cloud,8640,11136,2496
2026-02-01,Customer Success,Contractors,6480,7471,991
2026-02-01,Customer Success,Travel & Events,4320,4912,592
2026-02-01,Customer Success,Marketing Programs,3780,4104,324
2026-02-01,Customer Success,Facilities,3240,3946,706
2026-02-01,Customer Success,Training,1620,1785,165
2026-02-01,Customer Success,Other,1080,1136,56
2026-03-01,Sales,Salaries & Wages,59616,66118,6502
2026-03-01,Sales,Software & Cloud,20736,27778,7042
2026-03-01,Sales,Contractors,15552,19130,3578
2026-03-01,Sales,Travel & Events,10368,10856,488
2026-03-01,Sales,Marketing Programs,9072,9816,744
2026-03-01,Sales,Facilities,7776,7917,141
2026-03-01,Sales,Training,3888,4135,247
2026-03-01,Sales,Other,2592,2575,-17
2026-03-01,Marketing,Salaries & Wages,39744,36647,-3097
2026-03-01,Marketing,Software & Cloud,13824,13724,-100
2026-03-01,Marketing,Contractors,10368,9673,-695
2026-03-01,Marketing,Travel & Events,6912,5659,-1253
2026-03-01,Marketing,Marketing Programs,6048,5377,-671
2026-03-01,Marketing,Facilities,5184,4290,-894
2026-03-01,Marketing,Training,2592,1999,-593
2026-03-01,Marketing,Other,1728,1462,-266
2026-03-01,R&D,Salaries & Wages,29808,30740,932
2026-03-01,R&D,Software & Cloud,10368,13115,2747
2026-03-01,R&D,Contractors,7776,10770,2994
2026-03-01,R&D,Travel & Events,5184,5218,34
2026-03-01,R&D,Marketing Programs,4536,5333,797
2026-03-01,R&D,Facilities,3888,4174,286
2026-03-01,R&D,Training,1944,2192,248
2026-03-01,R&D,Other,1296,1482,186
2026-03-01,Operations,Salaries & Wages,47196,47497,301
2026-03-01,Operations,Software & Cloud,16416,19729,3313
2026-03-01,Operations,Contractors,12312,14922,2610
2026-03-01,Operations,Travel & Events,8208,7716,-492
2026-03-01,Operations,Marketing Programs,7182,7089,-93
2026-03-01,Operations,Facilities,6156,5865,-291
2026-03-01,Operations,Training,3078,3059,-19
2026-03-01,Operations,Other,2052,2042,-10
2026-03-01,G&A,Salaries & Wages,19872,20072,200
2026-03-01,G&A,Software & Cloud,6912,7618,706
2026-03-01,G&A,Contractors,5184,5972,788
2026-03-01,G&A,Travel & Events,3456,2712,-744
2026-03-01,G&A,Marketing Programs,3024,2769,-255
2026-03-01,G&A,Facilities,2592,2626,34
2026-03-01,G&A,Training,1296,1158,-138
2026-03-01,G&A,Other,864,792,-72
2026-03-01,Customer Success,Salaries & Wages,24840,26807,1967
2026-03-01,Customer Success,Software & Cloud,8640,10029,1389
2026-03-01,Customer Success,Contractors,6480,7729,1249
2026-03-01,Customer Success,Travel & Events,4320,5045,725
2026-03-01,Customer Success,Marketing Programs,3780,4306,526
2026-03-01,Customer Success,Facilities,3240,3324,84
2026-03-01,Customer Success,Training,1620,1601,-19
2026-03-01,Customer Success,Other,1080,1156,76
2026-04-01,Sales,Salaries & Wages,59616,72019,12403
2026-04-01,Sales,Software & Cloud,20736,25818,5082
2026-04-01,Sales,Contractors,15552,18329,2777
2026-04-01,Sales,Travel & Events,10368,11441,1073
2026-04-01,Sales,Marketing Programs,9072,10542,1470
2026-04-01,Sales,Facilities,7776,8648,872
2026-04-01,Sales,Training,3888,3929,41
2026-04-01,Sales,Other,2592,2686,94
2026-04-01,Marketing,Salaries & Wages,39744,34334,-5410
2026-04-01,Marketing,Software & Cloud,13824,12528,-1296
2026-04-01,Marketing,Contractors,10368,10552,184
2026-04-01,Marketing,Travel & Events,6912,5516,-1396
2026-04-01,Marketing,Marketing Programs,6048,5440,-608
